"","Designation"
"612","Aglianico del Re"
"613","Agnes' Vineyard Old Vine"
"614","Agnus"
"615","Agnus de Valdelana Reserva"
"616","Agnus Encruzilhada do Sul"
"617","Agnvs de Autor"
"618","Agoghe"
"619","Agostino Familia"
"620","Agostino Familia Gran Reserva"
"621","Agostino Petri"
"622","Agostino Petri Riserva"
"623","Agoston"
"624","Agoston Garnacha Cabernet"
"625","Agoston Rose"
"626","Agricola Centolani"
"627","Agricola Centolani Riserva"
"628","Agricultura Ecologica"
"629","Aguia Moura em Vinhas Velhas Garrafeira"
"630","Aguia Moura em Vinhas Velhas Reserva"
"631","Aguia Moura Em Vinhas Velhas Reserva"
"632","Ai Confini del Bosco"
"633","Ai Livelli"
"634","Ai Palazzi"
"635","Aiace Riserva"
"636","Aichleiten Reserve"
"637","Aigle d'Argent"
"638","Aigle Noir"
"639","Aigle Royal"
"640","Aile d'Argent"
"641","Aile d'Argent Barrel Sample"
"642","Aione"
"643","Aipierti"
"644","Air de Famille"
"645","Ait Souala"
"646","Ait Soula"
"647","Aithos Rosso"
"648","Aix Red"
"649","AKA Primitivo"
"650","Akiko's Cuvee"
"651","Al Canapo"
"652","Al Carmine Inferno"
"653","Al Caso"
"654","Al di La"
"655","Al Limite"
"656","Al muvedre"
"657","Al muvedre Tinto"
"658","Al Muvedre Tinto Joven"
"659","Al Passo"
"660","Al Posto dei Fiori"
"661","Al Posto dei Fiori Rosato"
"662","Al Qasar"
"663","Al Ria"
"664","Al Ria Reserva"
"665","Alabaster"
"666","Alabastro"
"667","Alabastro Branco"
"668","Alabastro by Quinta de Terrugem"
"669","Alabastro Reserva"
"670","Alabastro Reserva by Quinta de Terrugem"
"671","Alabastro Roupeiro Fernao Pires Antao Vaz"
"672","Alagna Superiore"
"673","Alain de la Treille"
"674","Alain de la Treille Le"
"675","Alain de la Treille Le Rose"
"676","Alambre"
"677","Alandra"
"678","Alandra Branco"
"679","Alandra Rose"
"680","Alandra Tinto"
"681","Alary"
"682","Alary Vineyard"
"683","Alasia Dessert Wine"
"684","Alastro"
"685","Alata"
"686","Alate Kosher"
"687","Alatus"
"688","Alatus Blend"
"689","Alauda"
"690","Alaura"
"691","Alavesa"
"692","Alavigna Tosca"
"693","Alaya"
"694","Alazan"
"695","Alazan CJ's Barrel"
"696","Alb de Murfatlar"
"697","Alb de Purcari"
"698","Alb Demisec"
"699","Alb Sec"
"700","Alba Celilo Vineyard"
"701","Alba Chiara Passito 500ml"
"702","Alba Cor White"
"703","Alba de Breton"
"704","Alba de Sierra"
"705","Alba della Torre Secco"
"706","ALBA Gewuztraminer Pinot Gris"
"707","Alba in Vigna"
"708","Alba Nora"
"709","Alba Valahica"
"710","Albacea"
"711","Albaclara Gran Reserva"
"712","Albada Vina Viejas"
"713","Albaliza"
"714","Albamarina"
"715","Alban Vineyard"
"716","Albareda"
"717","Albarino de Fefinanes"
"718","Albarosa"
"719","Albatrello"
"720","Albatro"
"721","Albatros"
"722","Albatross"
"723","Albeggio"
"724","Albera"
"725","Alberello Cinquanta"
"726","Albero Bobal"
"727","Alberta"
"728","Alberta Ferretti"
"729","Alberti"
"730","Alberto Furque"
"731","Albesani"
"732","Albesani Santo Stefano"
