"","Designation"
"3752","Botticelli Reserve"
"3753","Bottle Fermented Sparkling"
"3754","Bouche d'Or"
"3755","Boucheres Premier Cru"
"3756","Bouchet"
"3757","Bougainville"
"3758","Bougros Cote Bouguerots Grand Cru"
"3759","Bougros Cote de Bouguerots Grand Cru"
"3760","Bougros Grand Cru"
"3761","Boulder"
"3762","Boulder Bank"
"3763","Boulder Bank Fitzroy Vineyard"
"3764","Boulder Bluff Vineyard"
"3765","Boulder Falls"
"3766","Boulder Red"
"3767","Boulder Ridge Vineyard"
"3768","Boulevard"
"3769","Bouna Terra Vineyard"
"3770","Boundary"
"3771","Boundary Row"
"3772","Bouquet de Cavagnac"
"3773","Bouquet de Printemps"
"3774","Bouquet Printanier"
"3775","Bourbon Barrel Aged"
"3776","Bourbon Barrel Aged Batch No 13"
"3777","Bourgeois"
"3778","Bourgogne A. Rodet"
"3779","Bourgogne Chardonnay"
"3780","Bourgogne Chitry"
"3781","Bourgogne Pinot Noir"
"3782","Bourricot"
"3783","Boushey"
"3784","Boushey Grand Cote Vineyard"
"3785","Boushey Grande Cote Vineyard"
"3786","Boushey McPherson Vineyard"
"3787","Boushey Vineyard"
"3788","Boushey Vineyard Banere"
"3789","Boushey Vineyard Golden Block"
"3790","Boushey Vineyard L'Entente Blanc"
"3791","Boushey Vineyard Le Midi"
"3792","Boushey Vineyard Liberte"
"3793","Boushey Vineyard Petite Joie"
"3794","Boushey Vineyard Red Wine"
"3795","Boushey Vineyard Sauvage"
"3796","Boushey Vineyard Sirocco Blanc"
"3797","Bouzy Brut"
"3798","Bouzy Grand Cru Brut Rose"
"3799","Bovine Vineyards"
"3800","Bow Tie Vineyard"
"3801","Bow Tie Vineyard Estate Grown"
"3802","Bowed Head"
"3803","Bowhaus White Table Wine"
"3804","Bowland Ranch"
"3805","Bozzetto"
"3806","Braccale"
"3807","Bradey Block"
"3808","Bradford Mountain Estate Vineyard"
"3809","Bradford Mountain Grist Vineyard"
"3810","Bradford Mountain Vineyard"
"3811","Bradford Mountain Vineyard Gravity Flow Block"
"3812","Bradford Mountain Vineyards"
"3813","Bradley Vineyard"
"3814","Brado"
"3815","Brado Branco"
"3816","Bradshaw Vineyard"
"3817","Braganini Reserve"
"3818","Braganini Reserve Late Harvest"
"3819","Braganini Reserve Mountain Road"
"3820","Bragger"
"3821","Braida Santa Cecilia"
"3822","Braide Alte"
"3823","Braide Grande"
"3824","Braitenpuechtorff"
"3825","Braitenpuechtorff Gemischter Satz"
"3826","Braja Riserva"
"3827","Brakelight Reserve"
"3828","Bramaluce"
"3829","Bramante"
"3830","Bramante Cosimi"
"3831","Bramante Riserva"
"3832","Bramare"
"3833","Bramare Los Arbolitos Vineyard"
"3834","Bramare Marchiori Vineyard"
"3835","Bramare Rebon Vineyard"
"3836","Bramare Touza Vineyard"
"3837","Bramare Zingaretti Vineyard"
"3838","Bramasole"
"3839","Bramble Bump"
"3840","Bramble Bump Red"
"3841","Bramble Hill Vineyard"
"3842","Bramito"
"3843","Bramito del Cervo"
"3844","Bramosia"
"3845","Branciforte Creek Vineyard"
"3846","Branco"
"3847","Branco Barrica"
"3848","Branco Classico"
"3849","Branco Colheita"
"3850","Branco da Quinta das Carvalhas"
"3851","Branco de Curtimenta"
"3852","Branco de Talha"
"3853","Branco Especial"
"3854","Branco Real"
"3855","Branco Reserva"
"3856","Brancott Estate B"
"3857","Brand's Laira Vineyards"
"3858","Brand Grand Cru"
"3859","Brand Grand Cru Clos de la Treille"
"3860","Brand Grand Cru Vieilles Vignes"
"3861","Brand Happy Canyon Vineyard"
"3862","Brandal"
"3863","Brandan"
"3864","Brandhof"
"3865","Branding Iron"
"3866","Brandlin Vineyard"
"3867","Brandluft"
"3868","Brandluft Vieilles Vignes"
"3869","Branham Rockpile Vineyard"
"3870","Branham Vineyard"
"3871","Branu"
"3872","Brao Vinyes Velles"
"3873","Brash"
"3874","Bratinis"
"3875","Braunberger Juffer Sonnenuhr Spatlese"
"3876","Braunberger Juffer Sonnenuhr Spatlese Grosse Lage"
"3877","Brauneberg Juffer Sonnenuhr Trocken GG"
"3878","Brauneberger Feinherb"
"3879","Brauneberger Juffer Auslese"
"3880","Brauneberger Juffer Auslese Goldkapsel"
"3881","Brauneberger Juffer Erste Lage Feinherb"
"3882","Brauneberger Juffer Feinherb"
"3883","Brauneberger Juffer Feinherb Semi Dry"
"3884","Brauneberger Juffer Kabinett"
"3885","Brauneberger Juffer Kabinett Grosse Lage"
"3886","Brauneberger Juffer Sonnenuhr Auslese"
"3887","Brauneberger Juffer Sonnenuhr Auslese Goldkapsel"
"3888","Brauneberger Juffer Sonnenuhr GG Trocken"
"3889","Brauneberger Juffer Sonnenuhr Spatlese"
"3890","Brauneberger Juffer Sonnenuhr Spatlese 14"
"3891","Brauneberger Juffer Sonnenuhr Spatlese Grosse Lage"
"3892","Brauneberger Juffer Sonnenuhr Trocken GG"
"3893","Brauneberger Juffer Spatlese"
"3894","Brauneberger Juffer Trocken GG"
"3895","Brauneberger Kabinett"
"3896","Brauneberger Kabinett Trocken"
"3897","Brauneberger Trocken"
"3898","Brauneburg Juffer Sonnenuhr Trocken GG"
"3899","Brava"
"3900","Bravado"
"3901","Brave & Maiden Vineyard"
"3902","Braviolo"
"3903","Bravo Rosso"
"3904","Bravura"
"3905","Brazos de los Andes"
"3906","Brea Vigna Ca' Mia"
"3907","Brea Vigna Ca Mia"
"3908","Bread & Cheese"
"3909","Break Away"
"3910","Break By The Lake"
"3911","Breakaway"
"3912","Breaking Ground"
"3913","Breakneck Creek"
"3914","Breathing Space"
"3915","Breechens"
"3916","Breezette"
"3917","Breezy Slope Vineyard"
"3918","Breitbacher Vernatsch"
"3919","Breiter Rain Reserve"
"3920","Bremerview"
"3921","Brenda's Vineyard"
"3922","Brenntal Riserva"
"3923","Brentino"
"3924","Brentura"
"3925","Bressandes Premier Cru"
"3926","Breumel in den Mauren Trockenbeerenauslese"
"3927","Breva"
"3928","Brevetatta"
"3929","Brezza d'Estate"
"3930","Briante"
"3931","Briar"
"3932","Bric' Micca"
"3933","Bric Aut"
"3934","Bric Baitin"
"3935","Bric Balin"
"3936","Bric de Maschi"
"3937","Bric dei Banditi"
"3938","Bric del Baio"
"3939","Bric del Fiasc"
"3940","Bric du Luv"
"3941","Bric Loira"
"3942","Bric Micca"
"3943","Bric Paradis"
"3944","Bric Quercia"
"3945","Bric Turot"
"3946","Bric Valdiana"
"3947","Bric Volta"
"3948","Bricco al Sole"
"3949","Bricco Ambrogio"
"3950","Bricco Asili Bernardot"
"3951","Bricco Asinari Nizza"
"3952","Bricco Barone"
"3953","Bricco Bastia"
"3954","Bricco Battista"
"3955","Bricco Boschis"
"3956","Bricco Boschis Riserva Vigna San Giuseppe"
"3957","Bricco Boschis Vigna San Giuseppe Riserva"
"3958","Bricco Botti"
"3959","Bricco Buon Natale"
"3960","Bricco Cogni"
"3961","Bricco Crea"
"3962","Bricco dei Merli"
"3963","Bricco del Bosco"
"3964","Bricco del Perg"
"3965","Bricco dell'Uccellone"
"3966","Bricco della Bigotta"
"3967","Bricco delle Olive"
"3968","Bricco delle Viole"
"3969","Bricco delle Viole Riserva"
"3970","Bricco di Neive Riserva"
"3971","Bricco Faset"
"3972","Bricco Faset Riserva"
"3973","Bricco Fiasco"
"3974","Bricco Francesco"
"3975","Bricco Francesco Riserva"
"3976","Bricco Gattera"
"3977","Bricco Luciani"
"3978","Bricco Magno"
"3979","Bricco Manzoni"
"3980","Bricco Medica"
"3981","Bricco Paradiso"
"3982","Bricco Pernice"
"3983","Bricco Rio Sordo"
"3984","Bricco Rioglio"
"3985","Bricco Rocca"
"3986","Bricco Rocca Tistot Riserva"
"3987","Bricco Rocche"
"3988","Bricco Rocche Bricco Rocche"
"3989","Bricco Rocche Brunate"
"3990","Bricco Rocche Prapo"
"3991","Bricco Rovella"
"3992","Bricco San Biagio"
"3993","Bricco San Giuliano"
"3994","Bricco San Pietro"
"3995","Bricco Sarmassa"
"3996","Bricco Visette"
"3997","Briccole"
"3998","Briccole Riserva"
"3999","Briccolina"
"4000","Briccolina Riserva"
"4001","Briccotondo"
"4002","Briccotto"
"4003","Brich d'America"
"4004","Brich dij Nor"
"4005","Brichet"
"4006","Bricks and Roses"
"4007","Brico Buon Natale"
"4008","Bridao"
"4009","Bridao Classico"
"4010","Bridao Classico Branco"
"4011","Bridao Colheita Seleccionada"
"4012","Bridao Private Collection"
"4013","Bridao Reserva"
"4014","Bridao Reserva Branco"
"4015","Bridao Reserva Tinto"
"4016","Bridesmaid Red"
"4017","Bridge Lane"
"4018","Bridge Selection"
"4019","Bridgeland Block"
"4020","Bridgewater Mill"
"4021","Brigando"
"4022","Brigden Vineyard"
"4023","Brigette Catherine"
"4024","Bright Red"
"4025","Bright Red Wine"
"4026","Bright White"
"4027","Brightview"
"4028","Brigita Clone 777"
"4029","Brigue Prestige"
"4030","Brigue Provence"
"4031","Brigue Vin de Provence"
"4032","Brillante Brut Methode Traditionnelle"
"4033","Brillante Brut Sparkling Wine Methode Traditionnelle"
"4034","Brilliant White Wine"
"4035","Brindlbach"
"4036","Brique Prestige"
"4037","Brisa"
"4038","BrisAndes"
"4039","Brisas del Sur"
"4040","Brittan Vineyard"
"4041","Brix 24.5"
"4042","Brix 26.2"
"4043","Brix Vineyard"
"4044","Brix Vineyard Estate Grown"
"4045","Bro Black Tie Charlie Cuvee"
"4046","Broadley Vineyard"
"4047","Broc de Biques"
"4048","Brodatious Crane Ranch Vineyard"
"4049","Broglio"
"4050","Broglio Riserva"
"4051","Brognoligo"
"4052","Brohaugh"
"4053","Broilet"
"4054","Broken Axle Stagecoach Vineyard"
"4055","Broken Land"
"4056","Broken Leg Vineyard"
"4057","Broken Leg Vineyard The Recluse"
"4058","Broken Road"
"4059","Broken Rock Vineyard"
"4060","Brokenrock Vineyard"
"4061","Brol Grande"
"4062","Brolese Rose Extra Brut"
"4063","Brolettino"
"4064","Brolio"
"4065","Brolio Bettino"
"4066","Brolio Riserva"
"4067","Brolo Campofiorin"
"4068","Brolo delle Giare Riserva"
"4069","Bron & Ruseval"
"4070","Bron& Ruseval Riserva"
"4071","Broncho Stoneridge Vineyard"
"4072","Bronco"
"4073","Bronze Label"
"4074","Bronze Label Piedra Hill Vineyard"
"4075","Brookby Rd Single Vineyard Selection"
"4076","Brooks Estate Vineyard"
"4077","Brooks Road"
"4078","Brooster Fighting Red"
"4079","Broquel"
"4080","Brosseau Vineyard"
"4081","Brote Negro"
"4082","Brothers"
"4083","Brothers' Blend"
"4084","Brothers' Blend Red"
"4085","Brothers Reserve Cabernet Sauvignon Copeland Vineyard"
"4086","Brothers Reserve Chardonnay Copeland Vineyard"
"4087","Brothers Ridge"
"4088","Brothers Ridge Single Vineyard"
"4089","Brothers Vineyard"
"4090","Brouillards Premier Cru"
"4091","Brousseau Vineyard"
"4092","Brown Barn Vineyard"
"4093","Brown Ranch"
"4094","Broy Bianco"
"4095","Bruant Brut Nature"
"4096","Bruberry"
"4097","Bruberry Blanc"
"4098","Bruch"
"4099","Bruciagna Gran Selezione"
"4100","Bruck Federspiel"
"4101","Bruderbach Clos des Freres"
"4102","Bruderberg Jungfernwein Auslese"
"4103","Bruderthal Grand Cru"
"4104","Bruel"
"4105","Brumaire"
"4106","Brumato"
"4107","Brumont"
"4108","Brunaio"
"4109","Brunate"
"4110","Brunate Cannubi"
"4111","Brunate Le Coste"
"4112","Brune et Blonde"
"4113","Brune et Blonde de Guigal"
"4114","Brune et Blonde de Vidal Fleury"
"4115","Brunei Brut"
"4116","Brunet"
"4117","Brunette"
"4118","Brunheda Reserva"
"4119","Brunheda Vinhas Velhas"
"4120","Bruno's Blend III Red Wine"
"4121","Bruno Broglia"
"4122","Bruno Broglia del Comune di Gavi"
"4123","Brunos"
"4124","Brunos Blend"
"4125","Brunus"
"4126","Brusco dei Barbi"
"4127","Brut 130"
"4128","Brut 17"
"4129","Brut 204"
"4130","Brut 25"
"4131","Brut 36"
"4132","Brut Altamarea"
"4133","Brut Amethyste"
"4134","Brut Arcadia Rose"
"4135","Brut Art Deco"
"4136","Brut Balcn de Blancs Metodo Classico"
"4137","Brut Blanc"
"4138","Brut Blanc de Blanc"
"4139","Brut Blanc de Blancs"
"4140","Brut Blanc de Blancs Premier Cru"
"4141","Brut Blanc de Noir"
"4142","Brut Blanc de Noirs"
"4143","Brut Carte Noire"
"4144","Brut Cattin"
"4145","Brut Cava"
"4146","Brut Champagne"
"4147","Brut Chardonnay"
"4148","Brut Classic"
"4149","Brut Coquard"
"4150","Brut Crede"
"4151","Brut Cuvee"
"4152","Brut Cuvee 4 Millesimato"
"4153","Brut Cuvee 60 Mesi"
"4154","Brut Cuvee de Reserve"
"4155","Brut Cuvee del Fondatore"
"4156","Brut Cuvee di Boj"
"4157","Brut Cuvee Rare Millesimee"
"4158","Brut Cuvee Rose"
"4159","Brut Cuvee Tradition"
"4160","Brut d'Argent Brut Blanc de Blancs"
"4161","Brut de B."
"4162","Brut de Blancs"
"4163","Brut de Brut Methode Champenoise"
"4164","Brut de Brut Reserva"
"4165","Brut de Brut Rose"
"4166","Brut de Franc"
"4167","Brut de Noirs"
"4168","Brut De Noirs"
"4169","Brut de Noirs Methode Champenoise"
"4170","Brut de Nomine"
"4171","Brut de Nominee"
"4172","Brut Demi Long"
"4173","Brut du Petit Thouars"
"4174","Brut Eclat"
"4175","Brut Emozione"
"4176","Brut Estate Bottled"
"4177","Brut Estate Grown"
"4178","Brut Etoile"
"4179","Brut Etoile Rose"
"4180","Brut Excellence"
"4181","Brut Exclusive Gran Reserva"
"4182","Brut Exclusive Reserva"
"4183","Brut Extra"
"4184","Brut Extra Quality"
"4185","Brut Finca Mas Macia"
"4186","Brut Gold"
"4187","Brut Gran Reserva"
"4188","Brut Grand Assemblage"
"4189","Brut Grand Cru"
"4190","Brut Grand Cru Blanc de Blancs"
"4191","Brut Grand Reserve"
"4192","Brut Grande Reserve"
"4193","Brut Imperial Reserva"
"4194","Brut Integral"
"4195","Brut Intense"
"4196","Brut Jove"
"4197","Brut L'Ermitage Estate Bottled"
"4198","Brut L.D."
"4199","Brut Late Disgorged Blanc de Noir"
"4200","Brut LD"
"4201","Brut le Rose"
"4202","Brut Le Rose"
"4203","Brut Made with Organically Grown Grapes"
"4204","Brut Made With Organically Grown Grapes"
"4205","Brut Majeur"
"4206","Brut Methode Ancestrale"
"4207","Brut Methode Champanoise Estate Bottled"
"4208","Brut Methode Champenoise"
"4209","Brut Methode Traditionelle"
"4210","Brut Methode Traditionelle Sparkling Wine"
"4211","Brut Methode Traditionnelle"
"4212","Brut Methodo Tradicional"
"4213","Brut Metodo Classico"
"4214","Brut Metodo Classico Riserva"
"4215","Brut Metodo Tradicional"
"4216","Brut Metodo Tradizionale Classico"
"4217","Brut Milledi"
"4218","Brut Millesimato"
"4219","Brut Millesimato Motus Vitae"
"4220","Brut Millesime"
"4221","Brut Mosaique"
"4222","Brut Mosaique Rose"
"4223","Brut Mosaique Signature"
"4224","Brut Natural Reserva"
"4225","Brut Nature"
"4226","Brut Nature Blanc de Blancs"
"4227","Brut Nature Blanc de Blancs Methode Champenoise Estate Grown"
"4228","Brut Nature Chouilly Grand Cru"
"4229","Brut Nature Cramant Blanc de Blancs Grand Cru"
"4230","Brut Nature Cramant Grand Cru"
"4231","Brut Nature Gran Reserva"
"4232","Brut Nature Gran Reserva Cava"
"4233","Brut Nature Gran Reserva Reserva de la Familia"
"4234","Brut Nature Grand Cru"
"4235","Brut Nature Grand Cru Blanc de Blancs"
"4236","Brut Nature Grand Cru Millesime"
"4237","Brut Nature Le Mesnil sur Oger Blanc de Blancs Grand Cru"
"4238","Brut Nature Le Mesnil sur Oger Grand Cru"
"4239","Brut Nature Limited Edition"
"4240","Brut Nature Metodo Classico"
"4241","Brut Nature Millesimato"
"4242","Brut Nature Premier Cru Blanc de Noirs"
"4243","Brut Nature Reserva"
"4244","Brut Nature Reserva Arinto"
"4245","Brut Nature Reserva de la Fami"
"4246","Brut Nature Rose"
"4247","Brut Nature Rose Methode Champenoise Estate Grown"
"4248","Brut Nature Verzenay Grand Cru"
"4249","Brut Nature Vintage"
"4250","Brut Nature Zero Dosage"
"4251","Brut NV"
"4252","Brut Originel"
"4253","Brut P100 Blanc de Noirs"
"4254","Brut Perle"
"4255","Brut Premier"
"4256","Brut Premier Cru"
"4257","Brut Premier Cru Alexandre"
"4258","Brut Prestige"
"4259","Brut Prestige Domaine Saint Remy"
"4260","Brut Quvee 15"
"4261","Brut Real Reserva"
"4262","Brut Reference"
"4263","Brut Regence"
"4264","Brut Reserva"
"4265","Brut Reserva Cava"
"4266","Brut Reserva Extremarium"
"4267","Brut Reserva Made with Organic Grapes"
"4268","Brut Reserva Made With Organic Grapes"
"4269","Brut Reserva Rosat"
"4270","Brut Reserva Rose"
"4271","Brut Reserva Seleccion de la Familia"
"4272","Brut Reserva Special Edition"
"4273","Brut Reserve"
"4274","Brut Reserve Grand Cru"
"4275","Brut Reserve Natural"
"4276","Brut Reserve Pinot Noir Rose"
"4277","Brut Reserve Rose"
"4278","Brut Riserva"
"4279","Brut Riserva Casa delle Colonne Special Cru"
"4280","Brut Rosado"
"4281","Brut Rosat"
"4282","Brut Rose"
"4283","Brut Rose de Saignee"
"4284","Brut Rose Excellence"
"4285","Brut Rose Grand Cru"
"4286","Brut Rose Methode Champenoise California Champagne"
"4287","Brut Rose Methode Traditionelle"
"4288","Brut Rose Metodo Classico"
"4289","Brut Rose Millesimato"
"4290","Brut Rose Millesime"
"4291","Brut Rose Premier Cru"
"4292","Brut Rose Radijan"
"4293","Brut Rose Reserve"
"4294","Brut Rose Royal"
"4295","Brut Rose Vintage"
"4296","Brut Rouge de Noirs"
"4297","Brut Royal"
"4298","Brut Royal Rose"
"4299","Brut Ruio"
"4300","Brut Saphir"
"4301","Brut Saphir 1.5 liters"
"4302","Brut Saten"
"4303","Brut Saten Millesimato"
"4304","Brut Seduction"
"4305","Brut Sekt"
"4306","Brut Seleccion"
"4307","Brut Selection"
"4308","Brut Sous Bois"
"4309","Brut SP Reserve"
"4310","Brut Sparkling Wine"
"4311","Brut Talento"
"4312","Brut Tradition"
"4313","Brut Tradition Blanc de Blancs Grand Cru"
"4314","Brut Tradition Millesime"
"4315","Brut Traditionnel"
"4316","Brut Ultime Extra Brut"
"4317","Brut Vintage"
"4318","Brut X"
"4319","Brut Zero"
"4320","Brut Zero Dosage"
"4321","Brut Zero Rose"
"4322","Brut Zero Sans Soufre"
"4323","Brut Zero Sans Soufre Rose"
"4324","Brut Zero Selection"
"4325","Brutal"
"4326","Brutalis"
"4327","Bruto"
"4328","Bruto Grand Cuvee"
"4329","Bruto Rose"
"4330","Brutocao Vineyards"
"4331","Brutus"
"4332","Brutus II"
"4333","Bryan Creek Vineyard"
"4334","Bryan Creek Vineyards"
"4335","Bryce Vineyard"
"4336","Brynnan"
"4337","BSH Red"
"4338","BT Bodega Tintoralba"
"4339","BT Spanish Inspiration"
"4340","BT Tintorera"
"4341","Bubble Pinot Noir Rose"
"4342","Bubbles"
"4343","Bubbles by Lobetia"
"4344","Bubbles for Boobies"
"4345","Bubbles Sparkling Rose Wine"
"4346","Bubbles Sparkling White Wine"
"4347","Bubbly"
"4348","Bubbly Bantam"
"4349","Bubbly Pink"
"4350","Bucellas"
"4351","Bucephalus"
"4352","Bucher Vineyard"
"4353","Bucher Vineyard Three Sixty"
"4354","Buchert Vineyard"
"4355","Buchignani Garcia Vineyard Old Vine"
"4356","Buchignani Vineyard"
"4357","Buck's Ten Point"
"4358","Buck Hill"
"4359","Buck Hill Vineyard"
"4360","Buck Pasture"
"4361","Buckeye Vineyard"
"4362","Buckeye Vyd"
"4363","Bud Burst"
"4364","Bue Apis"
"4365","Buena Aventura"
"4366","Buena Prierra Vineyard Helio Doro Block"
"4367","Buena Tierra Vineyard"
"4368","Buena Tierra Vineyard E Block Clone 115"
"4369","Buenos Hermanos"
"4370","Buffalo"
"4371","Bugader"
"4372","Bugialla Riserva"
"4373","Buhlweingarten"
"4374","Buio Buio Riserva"
"4375","Buissonier"
"4376","Buissonnier"
"4377","Buissonnier Cote Chalonnaise Chardonnay"
"4378","Buissonnier Montagny"
"4379","Buissonnier Pinot Noir"
"4380","Bul's Rose"
"4381","Buleria Fino"
"4382","Bulizio"
"4383","Bull's Blush"
"4384","Bulles d'Or"
"4385","Bulles de Brigue Brut Nature"
"4386","Bulletproof Picasso"
"4387","Bullhorn Creek Vineyard"
"4388","Bullnose"
"4389","Bulls Eye"
"4390","Bunan Selection"
"4391","Bunch Select Late Harvest"
"4392","Bunk House"
"4393","Bunker Hill Vineyard"
"4394","Bunkhouse"
"4395","Buntsandstein Trocken"
"4396","Buntsandstein Weisser Burgunder Kabinett Trocken"
"4397","Buntsandstein Weisser Burgunder Spatlese Trocken"
"4398","Buntsandstein Weisser Burgunder Trocken"
"4399","Buon Padre"
"4400","Buona Derrata"
"4401","Buona Terra Vineyard"
"4402","Buoni Anni"
"4403","Buoni Anni Bianco"
"4404","BuoniAnni"
"4405","Burbank Vineyard"
"4406","Burdese"
"4407","Buren Vineyard Reserve"
"4408","Burg Falkenstein"
"4409","Burgenlandrot"
"4410","Burgenlandwei"
"4411","Burgess Vineyard"
"4412","Burggarten"
"4413","Burggarten Reserve"
"4414","Burgonet"
"4415","Burgstadter Trocken"
"4416","Burgum Novum Riserva"
"4417","Burgunder Sekt"
"4418","Buriano"
"4419","Burja Bela"
"4420","Burja Noir"
"4421","Burke Family Vineyard"
"4422","Burlenberg"
"4423","Burlenberg Bergheim"
"4424","Burnee Hill Vineyard Blanc de"
"4425","Burning Creek Ranch"
"4426","Burning Creek Vineyard Special Selection"
"4427","Burning Desire"
"4428","Burning Man"
"4429","Burning Man Old Vine"
"4430","Burnside Road Vineyard"
"4431","Burnside Road Vineyard Emerson Block Estate Grown Estate Bottled"
"4432","Burnside Road Vineyard Estate"
"4433","Burnside Road Vineyard Estate Grown"
"4434","Burnside Road Vineyard Estate Grown and Bottled"
"4435","Burnside Road Vineyard Estate Grown Estate Bottled"
"4436","Burnside Vineyard"
"4437","Bursting"
"4438","Bursting Reserve"
"4439","Burt Williams' Morning Dew Ranch"
"4440","Burtie Baby"
"4441","Bush Block"
"4442","Bush Camp The Sundowner"
"4443","Bush Crispo Vineyard"
"4444","Bush Crispo Vineyards"
"4445","Bush Vine"
"4446","Bushnell Vineyard"
"4447","Bushvine"
"4448","Bussia"
"4449","Bussia 90 Di"
"4450","Bussia Bricco Visette"
"4451","Bussia Cicala"
"4452","Bussia Colonnello"
"4453","Bussia Corsini"
"4454","Bussia Dardi Le Rose"
"4455","Bussia Munie Riserva"
"4456","Bussia Riserva"
"4457","Bussia Riserva 90 Di"
"4458","Bussia Romirasco"
"4459","Bussia Soprana"
"4460","Bussia Trentaquattro 34"
"4461","Bussia Vigna Campo dei Buoi"
"4462","Bussia Vigna dei Fantini"
"4463","Bussia Vigneto Bofani"
"4464","Butcher's Block"
"4465","Buti Nages"
"4466","Butler Nephew & Co Tawny Finest Reserve"
"4467","Butler Vineyard"
"4468","Butteaux Premier Cru"
"4469","Butterball"
"4470","Butterfly's Rock"
"4471","Buttner Sunol Vineyard"
"4472","Buttner Vineyard"
"4473","Button and Turkovich Vineyard"
"4474","Buttonwood Vineyard"
"4475","Buxom"
"4476","Buxom Blonde"
"4477","Buzbag Rezerv Okuzgozu Bogazkere"
"4478","Buzz Cut"
"4479","by Ant Moore"
"4480","by Gaia Wild Ferment"
"4481","by Montes Aurelio's Selection"
"4482","Byington Estate"
"4483","Byington Vineyard"
"4484","Byron Vineyard"
"4485","Byron Vineyard Delta"
"4486","Byzance"
"4487","Byzance Red Wine"
"4488","C'D'C'"
"4489","C'D'C' Rosso"
"4490","C'est la Vie"
"4491","C'est Si Bon"
"4492","C'Est Si Bon"
"4493","C'est Si Bon Naggiar Vineyard"
"4494","C'est Syrah Belle"
"4495","C'est Syrah Magnifique"
"4496","C'Incanta"
"4497","C Blanc du Castel"
"4498","C Blend"
"4499","C de B"
"4500","C.A.B"
"4501","C.A.V. Vinha Unica"
"4502","C.A.V. Vinhas Antigas"
"4503","C.C. Ranch"
"4504","C.M.S."
"4505","C.M.S. Unoaked White Wine"
"4506","C.M.S. White"
"4507","C.S. Ridge Vineyard"
"4508","C.Sb.V."
"4509","C3 Kidnappers Vineyard"
"4510","Ca' Bembo"
"4511","Ca' Bertoldi"
"4512","Ca' Besi"
"4513","Ca' Bianchi"
"4514","Ca' Brione"
"4515","Ca' Coato"
"4516","Ca' de' Rocchi"
"4517","Ca' de' Rocchi Montere"
"4518","Ca' de Calle Reserva"
"4519","Ca' del Lago"
"4520","Ca' del Laito"
"4521","Ca' del Solo Vineyard"
"4522","Ca' di Pesa"
"4523","Ca' Fiui"
"4524","Ca' Florian"
"4525","Ca' Florian Riserva"
"4526","Ca' Mia"
"4527","Ca' Rosa"
"4528","Ca' Secco"
"4529","Ca d'Galdin"
"4530","Ca d'Morissio Riserva"
"4531","Ca de' Rocchi"
"4532","Ca del Magro"
"4533","Ca del Pazzo"
"4534","Ca del Vento"
"4535","Ca Florian"
"4536","Ca Florian Riserva"
"4537","Ca Grossa"
"4538","Ca Morei"
"4539","Ca Visco"
"4540","CA1 Andes"
"4541","Cab 5 Rockpile Ridge"
"4542","Caballo Loco Grand Cru Apalta"
"4543","Caballo Loco Number Fourteen"
"4544","Caballo Loco Number Sixteen"
"4545","Cabane aux Oiseaux"
"4546","Cabaret"
"4547","Cabeca de Burro Reserva"
"4548","Cabeca de Toiro Reserva"
"4549","Cabeca de Toiro Special Selection"
"4550","Cabernache"
"4551","Cabernet and Corvina 3 liter BIB"
"4552","Cabernet Bosche"
"4553","Cabernet de Familia Finca Los Cerrillos"
"4554","Cabernet Family"
"4555","Cabernet Franc Barrel Select"
"4556","Cabernet Franc by Chateau Penin"
"4557","Cabernet Franc Dry"
"4558","Cabernet Frank"
"4559","Cabernet Malbec Reserve"
"4560","Cabernet Sauvignon 67 Merlot 19 Malbec 14"
"4561","Cabernet Sauvignon Blaufrankisch"
"4562","Cabernet Sauvignon Cabernet Franc Merlot"
"4563","Cabernet Sauvignon de Pennautier"
"4564","Cabernet Sauvignon Malbec Merlot"
"4565","Cabernet Sauvignon Merlot Malbec"
"4566","Cabernet Sauvignon Reserve"
"4567","Cabernet Sauvignon Rose"
"4568","Cabernet Sauvignon Shiraz Merlot"
"4569","Cabernet Sauvignon Shiraz Monastrell"
"4570","Cabernet Sauvignon Simonsberg"
"4571","Cabernet Sauvignon Touriga Nacional"
"4572","Cabernet Sauvignon X"
"4573","Cabernet Shiraz Merlot"
"4574","Cabo da Roca"
"4575","Cabo da Roca Reserva"
"4576","Cabo de Hornos"
"4577","Cabo de Hornos Special Reserve"
"4578","Cabochard"
"4579","Cabochon Brut"
"4580","Cabovation Destiny Vineyards Mt. Christo Block Reserve"
"4581","CabOvation Reserve"
"4582","Cabra Cega"
"4583","Cabreo Il Borgo"
"4584","Cabreo La Pietra"
"4585","Cabriole"
"4586","Cabriz"
"4587","Cabriz Biologico Organic"
"4588","Cabriz Blanc de Noirs"
"4589","Cabriz Blanc de Noirs Bruto"
"4590","Cabriz Branco"
"4591","Cabriz Bruto"
"4592","Cabriz Colheita Seleccionada"
"4593","Cabriz Colheita Seleccionada Branco"
"4594","Cabriz Encruzado"
"4595","Cabriz Impar"
"4596","Cabriz Reserva"
"4597","Cabriz Reserva Branco"
"4598","Cabriz Rose Colheita Seleccionada"
"4599","Cabronita"
"4600","Caburnio"
"4601","Caccia al Palazzo"
"4602","Cacciacone"
"4603","Cachito Mio"
"4604","Caciara"
"4605","Cacinello"
"4606","Cacklin' Rose Dry"
"4607","Cactus Hill"
