"left","bottom","right","top","confidence","cluster","table","row","file_id","file_number","entry_id","name_id","col.header","price_center_x_orig","price_center_y_orig","text.true","truth_entered_by","price_raw","type_raw","price_new","type_new","flag_year","flag_amount","flag_size","flag_digit","flag_order","flag_type_new","sum_flag"
3467,3946,3676,3987,96.275634765625,2,2,18,"UCD_Lehmann_0008","0008","0008_2_37","0008_2_18","Case",3583.24211069336,3947.14250191152,"106.00","David","108.00","TRUE","108.00","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1621,2438,1730,2478,93.0593566894531,1,1,1,"UCD_Lehmann_0011","0011","0011_1_1","0011_1_1","Bottle",1669.75396630178,2461.4818413214,"4.49","Jane","4.49","TRUE","4.49","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1622,2790,1731,2830,84.4927520751953,1,1,2,"UCD_Lehmann_0011","0011","0011_1_2","0011_1_2","Bottle",1674.49757041093,2813.45129769518,"4.49","Jane","4.49","TRUE","4.49","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1624,3210,1733,3250,76.2789688110352,1,1,3,"UCD_Lehmann_0011","0011","0011_1_3","0011_1_3","Bottle",1680.96432513685,3233.40627276193,"4.49","Jane","448","number","4.49","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1626,3532,1734,3572,89.8722915649414,1,1,4,"UCD_Lehmann_0011","0011","0011_1_4","0011_1_4","Bottle",1685.88883897864,3555.37210815976,"4.79","Jane","479","number","4.79","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1627,3806,1734,3845,72.7962646484375,1,1,5,"UCD_Lehmann_0011","0011","0011_1_5","0011_1_5","Bottle",1689.29759249628,3828.85132199411,"5.09","Jane","53.09","TRUE","53.09","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1630,4175,1737,4216,96.7530746459961,1,1,6,"UCD_Lehmann_0011","0011","0011_1_6","0011_1_6","Bottle",1696.23252068369,4198.79848953434,"5.49","Jane","5.49","TRUE","5.49","TRUE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
1607,4333,1753,4375,38.6673965454102,1,1,7,"UCD_Lehmann_0011","0011","0011_1_7","0011_1_7","Bottle",1694.41842947474,4357.3267490753,"5.49","Jane","ly 9,00","FALSE","9.00","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1631,4478,1738,4518,54.1874313354492,1,1,8,"UCD_Lehmann_0011","0011","0011_1_8","0011_1_8","Bottle",1700.4496725116,4501.27074550249,"5.99","Jane","349","number","5.49","TRUE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
1632,4752,1740,4792,95.9048156738281,1,1,9,"UCD_Lehmann_0011","0011","0011_1_9","0011_1_9","Bottle",1704.86368717158,4775.23929565849,"5.99","Jane","5.99","TRUE","5.99","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1635,5073,1741,5113,55.1328659057617,1,1,10,"UCD_Lehmann_0011","0011","0011_1_10","0011_1_10","Bottle",1710.27753733502,5096.19986991397,NA,NA,"5.90","TRUE","5.90","TRUE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
1831,2437,1971,2477,93.0593566894531,2,1,1,"UCD_Lehmann_0011","0011","0011_1_11","0011_1_1","Case",1895.23057719449,2458.08361526431,NA,NA,"48.50","TRUE","48.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1832,2789,1973,2830,96.5297012329102,2,1,2,"UCD_Lehmann_0011","0011","0011_1_12","0011_1_2","Case",1900.47947072472,2810.54772565955,NA,NA,"48.50","TRUE","48.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1834,3210,1975,3249,96.8255996704102,2,1,3,"UCD_Lehmann_0011","0011","0011_1_13","0011_1_3","Case",1906.94622545065,3230.5027007263,NA,NA,"48.50","TRUE","48.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1836,3531,1975,3571,83.7447509765625,2,1,4,"UCD_Lehmann_0011","0011","0011_1_14","0011_1_4","Case",1911.36544987136,3551.97388210267,NA,NA,"51.75","TRUE","51.75","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
