"price_raw","confidence","type_new","price_new","cluster","table","row","column","entry_id","name_id","text.true","truth_entered_by","col.header","text","text_raw","name","id","file_id","country","year","color","variety","region","province","designation"
"37.75",76.6082534790039,TRUE,"37.75",2,2,5,1,"0008_2_24","0008_2_5","37.75","David","Case","CHATEAU COS D'ESTOURNEL","CHATEAU COS D'ESTOURNEL (St. Estephe) ......... uo a A30 43.25 B30 ~~ Sh sala pl Se a a a dl a i Cab: ar tl Ss prey aa iP Np an a.","CHATEAU COS D'ESTOURNEL (St. Estephe)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Saint Estephe"")","NULL","NULL"
"37.75",58.2226943969727,TRUE,"37.75",2,2,6,1,"0008_2_25","0008_2_6","37.75","David","Case","CHATEAU LASCOMBES a RAR Ee a a A3) 43 25 B31 ale ya CF a al BR oS hE lL a wd gh EE Si) Ae le Ey ed tp CA NE ™ 4","CHATEAU LASCOMBES (Margaux) a RAR Ee a a A3) 43.25 B31 ale ya CF a al BR oS hE lL a wd gh EE Si) Ae le Ey ed tp, CA NE. ™ 4","CHATEAU LASCOMBES (Margaux) a RAR Ee a a A3) 43.25 B31 ale ya CF a al BR oS hE lL a wd gh EE Si) Ae le Ey ed tp, CA NE. ™ 4","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Margaux"")","NULL","NULL"
"43.50",72.5397186279297,TRUE,"43.50",2,2,7,1,"0008_2_26","0008_2_7","--","David","Case","| CHATEAU PALMER 8 Cee 0 wie iene Ce ete Dee ele Te neti Sec eo ell al ie iniiieiie Te el ieriie ie nti ele he < % 47 75 B35","| CHATEAU PALMER (Margaux) 8 Cee 0 wie iene Ce ete Dee ele Te neti Sec eo ell al ie iniiieiie Te el ieriie ie nti ele he < % 47.75 B35","| CHATEAU PALMER (Margaux) 8 Cee 0 wie iene Ce ete Dee ele Te neti Sec eo ell al ie iniiieiie Te el ieriie ie nti ele he < % 47.75 B35","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Margaux"")","NULL","NULL"
"41.78",74.7134628295898,TRUE,"41.78",2,2,8,1,"0008_2_27","0008_2_8","43.50","David","Case","| CHATEAU LATOUR A POMEROL 48 50 B41","| CHATEAU LATOUR-A-POMEROL (Pomerol) 48.50 B41","| CHATEAU LATOUR-A-POMEROL (Pomerol) 48.50 B41","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Pomerol"")","NULL","NULL"
"49.75",95.7348403930664,TRUE,"49.75",2,2,9,1,"0008_2_28","0008_2_9","41.75","David","Case","CHATEAU LATOUR HAUT BRION BIT eT AL IS Se Te ae 55 75 B43","CHATEAU LATOUR HAUT BRION (Graves) BIT eT AL IS Se Te ae 55.75 B43","CHATEAU LATOUR HAUT BRION (Graves) BIT eT AL IS Se Te ae 55.75 B43","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Graves"")","NULL","NULL"
"61.50",90.0933532714844,TRUE,"61.50",2,2,10,1,"0008_2_29","0008_2_10","49.75","David","Case","i CHATEAU LA MISSION HAUT BRION Si 8 Ze ete te a ether este ee ee Cn ieee eee 69 75 B45","i CHATEAU LA MISSION HAUT BRION (Graves) Si 8 Ze ete te a ether este ee ee Cn ieee eee 69.75 B45","i CHATEAU LA MISSION HAUT BRION (Graves) Si 8 Ze ete te a ether este ee ee Cn ieee eee 69.75 B45","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Graves"")","NULL","NULL"
"84.50",96.6520843505859,TRUE,"84.50",2,2,11,1,"0008_2_30","0008_2_11","61.50","David","Case","CHATEAU MARGAUX i","CHATEAU MARGAUX {MavgatiX) . i... in devil ites s sins cniernin ibis A47 B47","CHATEAU MARGAUX {MavgatiX) . i","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","NULL","NULL","NULL"
"88.50",96.6016311645508,TRUE,"88.50",2,2,12,1,"0008_2_31","0008_2_12","84.50","David","Case","CHATEAU PETRUS i","CHATEAU PETRUS (POMBYOY) i... ii iiss dee nss sss sissies savin. 24D B51","CHATEAU PETRUS (POMBYOY) i","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","NULL","NULL","NULL"
"84.50",96.2487640380859,TRUE,"84.50",2,2,13,1,"0008_2_32","0008_2_13","88.50","David","Case","CHATEAU LATOUR th Ray Seat aes fee AS53 99 50 B53","CHATEAU LATOUR (Pauillac) th Ray Seat aes fee AS53 99.50 B53","CHATEAU LATOUR (Pauillac) th Ray Seat aes fee AS53 99.50 B53","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Pauillac"")","NULL","NULL"
"79.80",94.6015396118164,TRUE,"79.80",2,2,14,1,"0008_2_33","0008_2_14","84.50","David","Case","CHATEAU HAUT BRION","CHATEAU HAUT BRION (Graves) ......:cohsveidinivasnonnss 049 99,50 B49","CHATEAU HAUT BRION (Graves)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Graves"")","NULL","NULL"
"79.50",96.267463684082,TRUE,"79.50",2,2,15,1,"0008_2_34","0008_2_15","79.50","David","Case","CHATEAU AUSONE","CHATEAU AUSONE (St. Emilion) ... oi. vines nran rs AB B61","CHATEAU AUSONE (St. Emilion)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Saint Emilion"")","NULL","NULL"
"84.50",96.5149383544922,TRUE,"84.50",2,2,16,1,"0008_2_35","0008_2_16","79.50","David","Case","CHATEAU CHEVAL BLANC","CHATEAU CHEVAL BLANC (St. Emilion) .........cuveecionanmssvence ADB B55","CHATEAU CHEVAL BLANC (St. Emilion)","NULL","UCD_Lehmann_0008","France","NULL","white","NULL","list(region = ""Saint Emilion"")","NULL","NULL"
"106.00",88.2002563476562,TRUE,"106.00",2,2,17,1,"0008_2_36","0008_2_17","84.50","David","Case","CHATEAU MOUTON ROTHSOHITD 0 oo ves vssndons ADY B57","CHATEAU MOUTON ROTHSOHITD 0. oo ves vssndons ADY B57","CHATEAU MOUTON ROTHSOHITD 0. oo ves vssndons ADY B57","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","NULL","NULL","NULL"
"108.00",96.275634765625,TRUE,"108.00",2,2,18,1,"0008_2_37","0008_2_18","106.00","David","Case","Pel XFS CF"" Nol Prapt NAS J NV ~~ vei Nd CHATEAU LAFITE ROTHSCHILD 122 00 B59","Pel? XFS CF"" Nol? Prapt? NAS J NV ~~ vei Nd . CHATEAU LAFITE ROTHSCHILD {Pauillac) 122.00 B59","Pel? XFS CF"" Nol? Prapt? NAS J NV ~~ vei Nd . CHATEAU LAFITE ROTHSCHILD {Pauillac) 122.00 B59","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Pauillac"")","NULL","NULL"
"4.49",93.0593566894531,TRUE,"4.49",1,1,1,1,"0011_1_1","0011_1_1","4.49","Jane","Bottle","CHATEAU BELAIR","237 CHATEAU BELAIR (St. Emilion). ... 4","CHATEAU BELAIR (St. Emilion)","237","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Saint Emilion"")","NULL","NULL"
"4.49",84.4927520751953,TRUE,"4.49",1,1,2,1,"0011_1_2","0011_1_2","4.49","Jane","Bottle","CHATEAU SIRAN","566 CHATEAU SIRAN (Margaux) ......","CHATEAU SIRAN (Margaux)","566","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Margaux"")","NULL","NULL"
"448",76.2789688110352,TRUE,"4.48",1,1,3,1,"0011_1_3","0011_1_3","4.49","Jane","Bottle","CHATEAU PRIEURE LICHINE Margaux)","434 CHATEAU PRIEURE LICHINE Margaux)... ................. ei.","CHATEAU PRIEURE LICHINE Margaux)","434","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Margaux"")","NULL","NULL"
"479",89.8722915649414,TRUE,"4.79",1,1,4,1,"0011_1_4","0011_1_4","4.79","Jane","Bottle","CHATEAU LYNCH BAGES Paulllag)","595 CHATEAU LYNCH BAGES Paulllag) .................. eds tan","CHATEAU LYNCH BAGES Paulllag)","595","UCD_Lehmann_0011","France","NULL","NULL","NULL","NULL","NULL","NULL"
"53.09",72.7962646484375,TRUE,"53.09",1,1,5,1,"0011_1_5","0011_1_5","5.09","Jane","Bottle","CHATEAU BRANE CANTENAC Margaux)","288 CHATEAU BRANE CANTENAC Margaux) ........ lose vas arr: sve]","CHATEAU BRANE CANTENAC Margaux)","288","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Margaux"")","NULL","NULL"
"5.49",96.7530746459961,TRUE,"5.49",1,1,6,1,"0011_1_6","0011_1_6","5.49","Jane","Bottle","CHATEAU LEOVILLE LASCASES","630 CHATEAU LEOVILLE LASCASES (St.Julien) ............... id vl","CHATEAU LEOVILLE LASCASES (St.Julien)","630","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Saint Julien"")","NULL","NULL"
"349",54.1874313354492,TRUE,"3.49",1,1,7,1,"0011_1_7","0011_1_7","5.49","Jane","Bottle","CHATEAU CANON","804 CHATEAU CANON (St. Emilion) ... :","CHATEAU CANON (St. Emilion)","804","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Saint Emilion"")","NULL","NULL"
"5.99",95.9048156738281,TRUE,"5.99",1,1,8,1,"0011_1_8","0011_1_8","5.99","Jane","Bottle","CHATEAU BEYCHEVELLE","615 CHATEAU BEYCHEVELLE (St. Julien) ....... 0 ii iiiivaa","CHATEAU BEYCHEVELLE (St. Julien)","615","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Saint Julien"")","NULL","NULL"
"5.90",55.1328659057617,TRUE,"5.90",1,1,9,1,"0011_1_9","0011_1_9","5.99","Jane","Bottle","CHATEAU CALON SEGUR","114 CHATEAU CALON SEGUR (St. Estephe) . .-...... . ise. i.us 5","CHATEAU CALON SEGUR (St. Estephe)","114","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Saint Estephe"")","NULL","NULL"
"48.50",93.0593566894531,TRUE,"48.50",2,1,1,2,"0011_1_10","0011_1_1","48.50","Jane","Case","CHATEAU BELAIR","237 CHATEAU BELAIR (St. Emilion). ... 4","CHATEAU BELAIR (St. Emilion)","237","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Saint Emilion"")","NULL","NULL"
"48.50",96.5297012329102,TRUE,"48.50",2,1,2,2,"0011_1_11","0011_1_2","48.50","Jane","Case","CHATEAU SIRAN","566 CHATEAU SIRAN (Margaux) ......","CHATEAU SIRAN (Margaux)","566","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Margaux"")","NULL","NULL"
"48.50",96.8255996704102,TRUE,"48.50",2,1,3,2,"0011_1_12","0011_1_3","48.50","Jane","Case","CHATEAU PRIEURE LICHINE Margaux)","434 CHATEAU PRIEURE LICHINE Margaux)... ................. ei.","CHATEAU PRIEURE LICHINE Margaux)","434","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Margaux"")","NULL","NULL"
"51.75",83.7447509765625,TRUE,"51.75",2,1,4,2,"0011_1_13","0011_1_4","51.75","Jane","Case","CHATEAU LYNCH BAGES Paulllag)","595 CHATEAU LYNCH BAGES Paulllag) .................. eds tan","CHATEAU LYNCH BAGES Paulllag)","595","UCD_Lehmann_0011","France","NULL","NULL","NULL","NULL","NULL","NULL"
"55.00",80.6588287353516,TRUE,"55.00",2,1,5,2,"0011_1_14","0011_1_5","55.00","Jane","Case","CHATEAU BRANE CANTENAC Margaux)","288 CHATEAU BRANE CANTENAC Margaux) ........ lose vas arr: sve]","CHATEAU BRANE CANTENAC Margaux)","288","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Margaux"")","NULL","NULL"
"59.30",77.2532119750977,TRUE,"59.30",2,1,6,2,"0011_1_15","0011_1_6","59.30","Jane","Case","CHATEAU LEOVILLE LASCASES","630 CHATEAU LEOVILLE LASCASES (St.Julien) ............... id vl","CHATEAU LEOVILLE LASCASES (St.Julien)","630","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Saint Julien"")","NULL","NULL"
"59.30",96.7784805297852,TRUE,"59.30",2,1,7,2,"0011_1_16","0011_1_7","59.30","Jane","Case","CHATEAU CANON","804 CHATEAU CANON (St. Emilion) ... :","CHATEAU CANON (St. Emilion)","804","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Saint Emilion"")","NULL","NULL"
"64.70",82.3836975097656,TRUE,"64.70",2,1,8,2,"0011_1_17","0011_1_8","64.70","Jane","Case","CHATEAU BEYCHEVELLE","615 CHATEAU BEYCHEVELLE (St. Julien) ....... 0 ii iiiivaa","CHATEAU BEYCHEVELLE (St. Julien)","615","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Saint Julien"")","NULL","NULL"
"64.70",96.3205413818359,TRUE,"64.70",2,1,9,2,"0011_1_18","0011_1_9","64.70","Jane","Case","CHATEAU CALON SEGUR","114 CHATEAU CALON SEGUR (St. Estephe) . .-...... . ise. i.us 5","CHATEAU CALON SEGUR (St. Estephe)","114","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Saint Estephe"")","NULL","NULL"
"8.95",96.8138961791992,TRUE,"8.95",4,2,1,1,"0011_2_28","0011_2_1","96.75","Jane",NA,"CARRUADES DE CHATEAU LAFITE ROTHSCHILD","584 CARRUADES DE CHATEAU LAFITE ROTHSCHILD (Pauillac) ...........","CARRUADES DE CHATEAU LAFITE ROTHSCHILD (Pauillac)","584","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Pauillac"")","NULL","NULL"
"10.95",89.2180252075195,TRUE,"10.95",4,2,3,1,"0011_2_29","0011_2_3","118.00","Jane",NA,"CHATEAU AUSONE","609 CHATEAU AUSONE (St. Emilion). . .1","CHATEAU AUSONE (St. Emilion)","609","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Saint Emilion"")","NULL","NULL"
"13.50",69.3539581298828,TRUE,"13.50",4,2,4,1,"0011_2_30","0011_2_4","145.80","Jane",NA,"CHATEAU MARGAUX","207 CHATEAU MARGAUX (Margaux). . .]","CHATEAU MARGAUX (Margaux)","207","UCD_Lehmann_0011","France","NULL","NULL","NULL","list(region = ""Margaux"")","NULL","NULL"
