mark_id,user_id,page_id,xy,type,wine_type,color,country,name,section,anonymous,vintage,bottle_type,perprice,caseprice,created,updated
8b658562-3d91-4e93-a51a-cc77d345743b,,bdf09e74-ea8b-4993-a98c-719c9a1f2eee,"{132,834}",wine,Still,,Germany,"MAXIMIN GRUNHAUSER HERRENBERG TROCKENBEERENAUSLESE, G. von Schubert",Original Abfullung,,1959,Standard,40,,2017-06-14 21:18:14,2017-06-14 21:18:14
1cf4e665-8cf1-4aed-8c84-cfa9d9afb335,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{626,738}",wine,Still,,France,"MONBAZILLAC, Nicolas",The Interesting Country Wines of France,,1966,Standard,1.99,21.5,2017-06-14 21:18:14,2017-06-14 21:18:14
8f552e1f-6838-4af4-b5bd-894064800894,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{624,903}",wine,Still,,France,"CORBIERES CHAINTRUEL, Nicolas",The Interesting Country Wines of France,,1966,Standard,1.49,16.1,2017-06-14 21:18:14,2017-06-14 21:18:14
274193ac-51d9-4a1d-8a77-fc226d713048,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{624,920}",wine,Still,,France,"IURANCON SEC, Nicolas",The Interesting Country Wines of France,,1966,Standard,1.49,16.1,2017-06-14 21:18:14,2017-06-14 21:18:14
9acc893e-b7c4-46ae-aecb-4da6d58eea84,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{623,992}",wine,Still,,France,"COTEAUX DU LANGUEDOC ROUGE
, Nicolas",The Interesting Country Wines of France,,1966,Standard,1.29,13.95,2017-06-14 21:18:14,2017-06-14 21:18:14
812c779a-16da-412d-9ffa-5b2f0e9cbd7f,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{626,718}",wine,Still,,France,BOUZY ROUGE (Red wine of Champagne),The Interesting Country Wines of France,,1966,Standard,4.99,53.9,2017-06-14 21:18:14,2017-06-14 21:18:14
54888c02-7035-4142-953d-186d11f49e27,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{625,774}",wine,Still,,France,CHATEAU ROUBAUD ROGUE (Provence),The Interesting Country Wines of France,,1966,Standard,1.79,19.35,2017-06-14 21:18:14,2017-06-14 21:18:14
930526ab-dd0c-4a40-b958-3240d04fff76,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{625,793}",wine,Still,,France,CAHORS ROUGE (Lot Valley),The Interesting Country Wines of France,,1966,Standard,1.79,19.35,2017-06-14 21:18:14,2017-06-14 21:18:14
46725180-d021-456d-9700-6fcfd8ecb004,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{625,829}",wine,Still,,France,COTES DE VENTOUX ROUGE (Provence),The Interesting Country Wines of France,,1967,Standard,1.79,19.35,2017-06-14 21:18:14,2017-06-14 21:18:14
dd1eb2bc-0d94-4ea6-8eba-80d91fa9c607,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{624,938}",wine,Still,,France,SCIATINO ROUGE (Corsica),The Interesting Country Wines of France,,1966,Standard,1.49,16.1,2017-06-14 21:18:14,2017-06-14 21:18:14
988eafd1-04f9-4d27-ab94-1450e9be7883,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{623,956}",wine,Still,,France,SCIATINO BLANC (Corsica),The Interesting Country Wines of France,,1966,Standard,1.49,16.1,2017-06-14 21:18:14,2017-06-14 21:18:14
c42572c1-9928-4849-b4a2-09bd90a2ae45,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{110,475}",wine,Still,Red,France,"HERMITAGE, Chierpe",Red Wines of the Rhone Valley,,1964,Standard,3.99,43.1,2017-06-14 21:18:14,2017-06-14 21:18:14
5a101a71-dea2-4176-bccf-58d48bcd0fb1,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{111,320}",wine,Still,White,France,"CHATEAU GRILLET, Neyret-Gachet",White Wines of the Rhone Valley,,1966,Standard,13.69,147.73,2017-06-14 21:18:14,2017-06-14 21:18:14
2c3410db-f795-4134-b41a-798e9d2c87d2,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{111,339}",wine,Still,White,France,"CONDRIEU, Chateau du Rozay",White Wines of the Rhone Valley,,1964,Standard,4.99,53.9,2017-06-14 21:18:14,2017-06-14 21:18:14
7b41f368-2b9f-4e2b-93ad-1dcc465fe955,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{110,393}",wine,Still,White,France,"CROZES-HERMITAGE, Noyer",White Wines of the Rhone Valley,,1964,Standard,2.29,24.75,2017-06-14 21:18:14,2017-06-14 21:18:14
e7e6f946-7f81-46b0-98a3-cf253cc5005c,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{108,684}",wine,Still,White,Germany,"GEWURZTRAMINER GRAND CRU, Hugel",The Wines of Alsace,,1966,Standard,3.19,34.65,2017-06-14 21:18:14,2017-06-14 21:18:14
1fbdb876-3a83-463e-96a3-291fab06ea62,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{108,721}",wine,Still,White,Germany,"GEWURZTRAMINER CRU DU

MAMBURG, Nicolas",The Wines of Alsace,,1965,Standard,2.69,29.05,2017-06-14 21:18:14,2017-06-14 21:18:14
ce42102d-3433-4904-b3e8-64e1053c208c,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{107,740}",wine,Still,White,Germany,"RIESLING, Huge]",The Wines of Alsace,,1966,Standard,2.55,27.4,2017-06-14 21:18:14,2017-06-14 21:18:14
21cd8386-d026-4416-920e-750ae82678a1,,bdf09e74-ea8b-4993-a98c-719c9a1f2eee,"{131,923}",wine,Still,,Germany,"WEHLENER SONNENUHR BEERENAUSLESE, Job. 105. Pruem",Original Abfullung,,1959,Standard,37.5,,2017-06-14 21:18:14,2017-06-14 21:18:14
c4de59af-4163-48ac-a6e1-526210f43b9b,,fc990049-54a2-4055-8570-a0f1960c9786,"{88,431}",wine,Still,Red,France,"CHATEAU LA MISSION
HAUT BRION (Graves)",The Good 1960 and 1963 Clarets,,,Standard,5.49,59.3,2017-06-14 21:18:14,2017-06-14 21:18:14
e8388fa3-01fa-4775-8275-6b90d1415394,,fc990049-54a2-4055-8570-a0f1960c9786,"{91,551}",wine,Still,Red,France,CHATEAU COS D’ESTOURNEL (St. Estephe),The Good 1960 and 1963 Clarets,,1960,Standard,3.29,35.55,2017-06-14 21:18:14,2017-06-14 21:18:14
b7296680-e892-4c3f-87f2-4d45ab74a284,,fc990049-54a2-4055-8570-a0f1960c9786,"{611,175}",wine,Still,Red,France,CHATEAU HAUT BRION (Graves),The Good 1960 and 1963 Clarets,,1963,Standard,4.99,53.9,2017-06-14 21:18:14,2017-06-14 21:18:14
8b669039-6581-4c3e-91cc-41ec4f4d85b7,,fc990049-54a2-4055-8570-a0f1960c9786,"{612,274}",wine,Still,Red,France,"CHATEAU LAFITE ROTHSCHILD
 (Pauillac)",The Good 1960 and 1963 Clarets,,1963,Standard,4.99,53.9,2017-06-14 21:18:14,2017-06-14 21:18:14
334267fe-4864-4c3c-9bef-d55ddfb04bc6,,fc990049-54a2-4055-8570-a0f1960c9786,"{614,403}",wine,Still,Red,France,CHATEAU LATOUR (Pauillac),The Good 1960 and 1963 Clarets,,1963,Standard,4.49,48.5,2017-06-14 21:18:14,2017-06-14 21:18:14
